colour	x	y	group	clickSelects
#F8766D	1598898600	3132	1	Andaman and Nicobar Islands
#F8766D	1598985000	3160	1	Andaman and Nicobar Islands
#F8766D	1599071400	3186	1	Andaman and Nicobar Islands
#F8766D	1599157800	3223	1	Andaman and Nicobar Islands
#F8766D	1599244200	3257	1	Andaman and Nicobar Islands
#F8766D	1599330600	3292	1	Andaman and Nicobar Islands
#F8766D	1599417000	3332	1	Andaman and Nicobar Islands
#F8766D	1599503400	3359	1	Andaman and Nicobar Islands
#F8766D	1599589800	3392	1	Andaman and Nicobar Islands
#F8766D	1599676200	3426	1	Andaman and Nicobar Islands
#F8766D	1599762600	3465	1	Andaman and Nicobar Islands
#F8766D	1599849000	3494	1	Andaman and Nicobar Islands
#F8766D	1599935400	3521	1	Andaman and Nicobar Islands
#F8766D	1600021800	3546	1	Andaman and Nicobar Islands
#F8766D	1600108200	3557	1	Andaman and Nicobar Islands
#F8766D	1600194600	3574	1	Andaman and Nicobar Islands
#F8766D	1600281000	3593	1	Andaman and Nicobar Islands
#F8766D	1600367400	3604	1	Andaman and Nicobar Islands
#F8766D	1600453800	3631	1	Andaman and Nicobar Islands
#F8766D	1600540200	3644	1	Andaman and Nicobar Islands
#F8766D	1600626600	3651	1	Andaman and Nicobar Islands
#F8766D	1600713000	3673	1	Andaman and Nicobar Islands
#F8766D	1600799400	3691	1	Andaman and Nicobar Islands
#F8766D	1600885800	3712	1	Andaman and Nicobar Islands
#F8766D	1600972200	3744	1	Andaman and Nicobar Islands
#F8766D	1601058600	3759	1	Andaman and Nicobar Islands
#F8766D	1601145000	3774	1	Andaman and Nicobar Islands
#F8766D	1601231400	3794	1	Andaman and Nicobar Islands
#F8766D	1601317800	3803	1	Andaman and Nicobar Islands
#F8766D	1601404200	3821	1	Andaman and Nicobar Islands
#F8766D	1601490600	3835	1	Andaman and Nicobar Islands
#F8766D	1601577000	3848	1	Andaman and Nicobar Islands
#F8766D	1601663400	3858	1	Andaman and Nicobar Islands
#F8766D	1601749800	3868	1	Andaman and Nicobar Islands
#F8766D	1601836200	3884	1	Andaman and Nicobar Islands
#F8766D	1601922600	3899	1	Andaman and Nicobar Islands
#F8766D	1602009000	3912	1	Andaman and Nicobar Islands
#F8766D	1602095400	3935	1	Andaman and Nicobar Islands
#F8766D	1602181800	3952	1	Andaman and Nicobar Islands
#F8766D	1602268200	3976	1	Andaman and Nicobar Islands
#F8766D	1602354600	3992	1	Andaman and Nicobar Islands
#F8766D	1602441000	4005	1	Andaman and Nicobar Islands
#F8766D	1602527400	4023	1	Andaman and Nicobar Islands
#F8766D	1602613800	4036	1	Andaman and Nicobar Islands
#F8766D	1602700200	4046	1	Andaman and Nicobar Islands
#F8766D	1602786600	4062	1	Andaman and Nicobar Islands
#F8766D	1602873000	4072	1	Andaman and Nicobar Islands
#F8766D	1602959400	4083	1	Andaman and Nicobar Islands
